,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
143,,Under Graduate,21-25 Yrs.,Female,300000,6,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
144,,Post Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
145,,Under Graduate,Less than 20 Yrs. ,Male,500000,5,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
146,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,No,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
147,,Under Graduate,21-25 Yrs.,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
148,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Personal Interest,Friends and Peers,Not Sure,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
149,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
150,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
151,,Under Graduate,21-25 Yrs.,Male,200000,3,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
152,,Under Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
153,,Under Graduate,Less than 20 Yrs. ,Female,500000,7,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
154,,Post Graduate,21-25 Yrs.,Female,200000,5,Family/Society,Parental Expectations,Online Resources,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
155,,Under Graduate,21-25 Yrs.,Male,1000000,6,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
156,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
157,,Under Graduate,Less than 20 Yrs. ,Female,200000,6,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
158,,Under Graduate,Less than 20 Yrs. ,Male,500000,7,Your own decision,Personal Interest,Online Resources,Not Sure,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
159,,Post Graduate,21-25 Yrs.,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
160,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Friends/Peer group,Parental Expectations,Friends and Peers,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
161,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Financial Stability,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
162,,Under Graduate,Less than 20 Yrs. ,Female,300000,3,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
163,,Under Graduate,21-25 Yrs.,Female,800000,5,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
164,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
165,,Under Graduate,21-25 Yrs.,Male,500000,3,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
166,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Previous Students' Experiences,No,Financial Stability,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
167,,Post Graduate,More than 25 Yrs.,Female,800000,5,Your own decision,Career Prospects,Academic Advisors,Not Sure,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
168,,Professional,21-25 Yrs.,Female,800000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
169,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
170,,Under Graduate,Less than 20 Yrs. ,Female,200000,9,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
171,,Post Graduate,21-25 Yrs.,Female,200000,3,Friends/Peer group,Personal Interest,Friends and Peers,Yes,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
172,,Post Graduate,21-25 Yrs.,Female,500000,4,Friends/Peer group,Career Prospects,Online Resources,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
173,,Post Graduate,21-25 Yrs.,Female,300000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
174,,Senior Secondary,Less than 20 Yrs. ,Male,800000,4,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
175,,Under Graduate,More than 25 Yrs.,Female,1000000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
176,,Under Graduate,21-25 Yrs.,Male,200000,5,Your own decision,Personal Interest,Friends and Peers,Not Sure,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
177,,Professional,21-25 Yrs.,Female,800000,4,Teachers,Personal Interest,Academic Advisors,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
178,,Under Graduate,More than 25 Yrs.,Female,500000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
179,,Post Graduate,21-25 Yrs.,Female,300000,4,Your own decision,Parental Expectations,Previous Students' Experiences,Yes,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
180,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
181,,Under Graduate,Less than 20 Yrs. ,Female,500000,6,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
182,,Under Graduate,Less than 20 Yrs. ,Male,300000,7,Your own decision,Career Prospects,Academic Advisors,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
183,,Under Graduate,Less than 20 Yrs. ,Female,100000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
184,,Under Graduate,Less than 20 Yrs. ,Male,500000,6,Your own decision,Career Prospects,Academic Advisors,No,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
185,,Under Graduate,Less than 20 Yrs. ,Male,1000000,6,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
186,,Under Graduate,Less than 20 Yrs. ,Female,1000000,6,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
187,,Under Graduate,Less than 20 Yrs. ,Male,100000,4,Your own decision,Career Prospects,Online Resources,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
188,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Online Resources,Not Sure,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
189,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Family/Society,Parental Expectations,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
190,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
191,,Post Graduate,Less than 20 Yrs. ,Male,500000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Family Professional Goals,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
192,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
193,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Friends/Peer group,Personal Interest,Academic Advisors,Yes,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
194,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
195,,Post Graduate,More than 25 Yrs.,Female,300000,4,Family/Society,Parental Expectations,Online Resources,Not Sure,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
196,,Under Graduate,21-25 Yrs.,Male,200000,4,Teachers,Career Prospects,Previous Students' Experiences,Yes,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
197,,Senior Secondary,Less than 20 Yrs. ,Male,100000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
198,,Under Graduate,Less than 20 Yrs. ,Male,500000,6,Your own decision,Career Prospects,Previous Students' Experiences,No,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
199,,Senior Secondary,Less than 20 Yrs. ,Male,200000,6,Your own decision,Career Prospects,Online Resources,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
200,,Under Graduate,Less than 20 Yrs. ,Female,500000,6,Family/Society,Personal Interest,Family Members,Yes,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
201,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Family/Society,Personal Interest,Family Members,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
202,,Under Graduate,Less than 20 Yrs. ,Male,500000,3,Your own decision,Career Prospects,Friends and Peers,Yes,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
203,,Under Graduate,Less than 20 Yrs. ,Male,300000,2,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
204,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
205,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Previous Students' Experiences,Not Sure,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
206,,Under Graduate,Less than 20 Yrs. ,Male,300000,6,Family/Society,Career Prospects,Online Resources,No,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
207,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Personal Interest,Online Resources,No,Financial Stability,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
208,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
209,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
210,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
211,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
212,,Under Graduate,21-25 Yrs.,Male,200000,4,Friends/Peer group,Career Prospects,Friends and Peers,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
213,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Family/Society,Career Prospects,Family Members,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
214,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
215,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
216,,Under Graduate,Less than 20 Yrs. ,Female,100000,3,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
217,,Under Graduate,Less than 20 Yrs. ,Female,300000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
218,,Post Graduate,21-25 Yrs.,Female,200000,6,Family/Society,Personal Interest,Friends and Peers,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
219,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
220,,Post Graduate,More than 25 Yrs.,Female,300000,5,Friends/Peer group,Career Prospects,Friends and Peers,Yes,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
221,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Family Members,Not Sure,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
222,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
223,,Post Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
224,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Career Preferences,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
225,,Senior Secondary,Less than 20 Yrs. ,Female,500000,3,Your own decision,Personal Interest,Online Resources,No,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
226,,Senior Secondary,Less than 20 Yrs. ,Female,300000,6,Family/Society,Parental Expectations,Friends and Peers,Yes,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
227,,Under Graduate,Less than 20 Yrs. ,Male,100000,4,Your own decision,Career Prospects,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
228,,Senior Secondary,Less than 20 Yrs. ,Female,300000,6,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
229,,Post Graduate,21-25 Yrs.,Female,800000,5,Your own decision,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
230,,Professional,21-25 Yrs.,Female,200000,3,Your own decision,Personal Interest,Family Members,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
231,,Senior Secondary,Less than 20 Yrs. ,Male,800000,6,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
232,,Senior Secondary,Less than 20 Yrs. ,Male,500000,6,Your own decision,Personal Interest,Online Resources,Yes,Family Professional Goals,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
233,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
234,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Family/Society,Career Prospects,Academic Advisors,Yes,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
